8_27_200,-1.724
8_27_210,-1.724
8_27_220,2.276
8_27_230,2.276
8_27_240,-1.724
8_27_250,2.276
8_27_260,2.276
8_27_270,-1.724
8_27_280,-5.724
8_27_290,-1.724
8_27_300,-1.724
8_27_310,-5.724
8_27_320,-1.724
8_27_330,-5.724
8_27_340,-1.724
8_27_350,2.276
8_27_360,-5.724
8_27_370,2.276
8_27_380,2.276
8_27_390,-5.724
8_27_400,-1.724
8_27_410,2.276
8_27_420,2.276
8_27_430,-1.724
8_27_440,2.276
8_27_450,2.276
8_27_460,6.276
8_27_470,6.276
8_27_480,6.276
8_27_490,-1.724
8_27_500,2.276
8_27_510,2.276
8_27_520,-1.724
8_27_530,-5.724
8_27_540,2.276
8_27_550,6.276
8_27_560,2.276
8_27_570,2.276
8_27_580,2.276
8_27_590,2.276
8_27_600,2.276
8_27_610,-5.724
8_27_620,2.276
8_27_630,2.276
8_27_640,2.276
8_27_650,2.276
8_27_660,-1.724
8_27_670,-1.724
8_27_680,2.276
8_27_690,2.276
8_27_700,2.276
8_27_710,-1.724
8_27_720,2.276
8_27_730,2.276
8_27_740,2.276
8_27_750,-1.724
8_27_760,-1.724
8_27_770,2.276
8_27_780,2.276
8_27_790,-1.724
8_27_800,2.276
8_27_810,-1.724
8_27_820,2.276
8_27_830,6.276
8_27_840,2.276
8_27_850,-1.724
8_27_860,-5.724
8_27_870,-1.724
8_27_880,2.276
8_27_890,-1.724
8_27_900,-1.724
8_27_910,-1.724
8_27_920,-1.724
8_27_930,2.276
8_27_940,-1.724
8_27_950,2.276
8_27_960,6.276
8_27_970,6.276
8_27_980,2.276
8_27_990,2.276
8_28_0,-5.724
8_28_10,-5.724
8_28_20,-1.724
8_28_30,2.276
8_28_40,2.276
8_28_50,2.276
8_28_60,6.276
8_28_70,2.276
8_28_80,-1.724
8_28_90,-1.724
8_28_100,-1.724
8_28_110,-5.724
8_28_120,2.276
8_28_130,2.276
8_28_140,2.276
8_28_150,2.276
8_28_160,-1.724
8_28_170,-5.724
8_28_180,-1.724
8_28_190,2.276
8_28_200,-1.724
8_28_210,2.276
8_28_220,-1.724
8_28_230,2.276
8_28_240,-1.724
8_28_250,-1.724
8_28_260,2.276
8_28_270,2.276
8_28_280,-1.724
8_28_290,-1.724
8_28_300,-1.724
8_28_310,2.276
8_28_320,2.276
8_28_330,-1.724
8_28_340,-1.724
8_28_350,-5.724
8_28_360,-5.724
8_28_370,-5.724
8_28_380,2.276
8_28_390,2.276
8_28_400,-5.724
8_28_410,-5.724
8_28_420,2.276
8_28_430,-1.724
8_28_440,-9.724
8_28_450,2.276
8_28_460,-1.724
8_28_470,-5.724
8_28_480,2.276
8_28_490,2.276
8_28_500,-1.724
8_28_510,-1.724
8_28_520,-1.724
8_28_530,-1.724
8_28_540,-1.724
8_28_550,2.276
8_28_560,2.276
8_28_570,-1.724
8_28_580,-1.724
8_28_590,-1.724
8_28_600,2.276
8_28_610,-1.724
8_28_620,-5.724
8_28_630,-1.724
8_28_640,2.276
8_28_650,-1.724
8_28_660,-1.724
8_28_670,2.276
8_28_680,-1.724
8_28_690,-1.724
8_28_700,-1.724
8_28_710,2.276
8_28_720,2.276
8_28_730,2.276
8_28_740,2.276
8_28_750,-1.724
8_28_760,2.276
8_28_770,-1.724
8_28_780,-1.724
8_28_790,-5.724
8_28_800,-5.724
8_28_810,-5.724
8_28_820,-1.724
8_28_830,-1.724
8_28_840,-1.724
8_28_850,6.276
8_28_860,-1.724
8_28_870,-5.724
8_28_880,2.276
8_28_890,-1.724
8_28_900,-9.724
8_28_910,2.276
8_28_920,-1.724
8_28_930,-1.724
8_28_940,-1.724
8_28_950,-1.724
8_28_960,-1.724
8_28_970,-1.724
8_28_980,-1.724
8_28_990,-1.724
8_29_0,-1.724
8_29_10,-1.724
8_29_20,2.276
8_29_30,2.276
8_29_40,2.276
8_29_50,2.276
8_29_60,-1.724
8_29_70,2.276
8_29_80,2.276
8_29_90,2.276
8_29_100,-1.724
8_29_110,2.276
8_29_120,2.276
8_29_130,2.276
8_29_140,-1.724
8_29_150,-1.724
8_29_160,2.276
8_29_170,-1.724
8_29_180,2.276
8_29_190,-1.724
8_29_200,6.276
8_29_210,2.276
8_29_220,2.276
8_29_230,-5.724
8_29_240,6.276
8_29_250,2.276
8_29_260,-1.724
8_29_270,-1.724
8_29_280,2.276
8_29_290,6.276
8_29_300,-1.724
8_29_310,-1.724
8_29_320,2.276
8_29_330,-1.724
8_29_340,-1.724
8_29_350,2.276
8_29_360,2.276
8_29_370,2.276
8_29_380,2.276
8_29_390,-1.724
8_29_400,-1.724
8_29_410,2.276
8_29_420,2.276
8_29_430,-1.724
8_29_440,-1.724
8_29_450,2.276
8_29_460,-5.724
8_29_470,-9.724
8_29_480,-5.724
8_29_490,-1.724
8_29_500,2.276
8_29_510,2.276
8_29_520,2.276
8_29_530,-1.724
8_29_540,-1.724
8_29_550,-1.724
8_29_560,-1.724
8_29_570,-1.724
8_29_580,2.276
8_29_590,2.276
8_29_600,2.276
8_29_610,-1.724
8_29_620,-1.724
8_29_630,-1.724
8_29_640,2.276
8_29_650,-1.724
8_29_660,2.276
8_29_670,-1.724
8_29_680,2.276
8_29_690,2.276
8_29_700,-5.724
8_29_710,2.276
8_29_720,2.276
8_29_730,14.276
8_29_740,2.276
8_29_750,-1.724
8_29_760,2.276
8_29_770,2.276
8_29_780,-5.724
8_29_790,-1.724
8_29_800,-1.724
8_29_810,2.276
8_29_820,6.276
8_29_830,-1.724
8_29_840,-1.724
8_29_850,10.276
8_29_860,2.276
8_29_870,-1.724
8_29_880,6.276
8_29_890,6.276
8_29_900,-1.724
8_29_910,-1.724
8_29_920,-1.724
8_29_930,-1.724
8_29_940,-1.724
8_29_950,-1.724
8_29_960,2.276
8_29_970,6.276
8_29_980,-1.724
8_29_990,-5.724
8_30_0,-1.724
8_30_10,-1.724
8_30_20,2.276
8_30_30,2.276
8_30_40,2.276
8_30_50,-1.724
8_30_60,-1.724
8_30_70,-1.724
8_30_80,-1.724
8_30_90,-1.724
8_30_100,-1.724
8_30_110,-1.724
8_30_120,2.276
8_30_130,-1.724
8_30_140,-1.724
8_30_150,6.276
8_30_160,-1.724
8_30_170,-1.724
8_30_180,2.276
8_30_190,2.276
8_30_200,-1.724
8_30_210,2.276
8_30_220,-1.724
8_30_230,-1.724
8_30_240,-1.724
8_30_250,-1.724
8_30_260,-1.724
8_30_270,2.276
8_30_280,2.276
8_30_290,-1.724
8_30_300,-1.724
8_30_310,2.276
8_30_320,-1.724
8_30_330,-1.724
8_30_340,-1.724
8_30_350,-1.724
8_30_360,-1.724
8_30_370,2.276
8_30_380,2.276
8_30_390,2.276
8_30_400,2.276
8_30_410,-1.724
8_30_420,-5.724
8_30_430,-1.724
8_30_440,2.276
8_30_450,6.276
8_30_460,2.276
8_30_470,-1.724
8_30_480,-1.724
8_30_490,6.276
8_30_500,2.276
8_30_510,-5.724
8_30_520,-1.724
8_30_530,-5.724
8_30_540,2.276
8_30_550,2.276
8_30_560,-1.724
8_30_570,-1.724
8_30_580,-1.724
8_30_590,2.276
8_30_600,-5.724
8_30_610,-1.724
8_30_620,2.276
8_30_630,10.276
8_30_640,6.276
8_30_650,-5.724
8_30_660,-5.724
8_30_670,2.276
8_30_680,-1.724
8_30_690,2.276
8_30_700,-1.724
8_30_710,-1.724
8_30_720,-1.724
8_30_730,2.276
8_30_740,-5.724
8_30_750,2.276
8_30_760,2.276
8_30_770,-1.724
8_30_780,-1.724
8_30_790,2.276
8_30_800,2.276
8_30_810,-1.724
8_30_820,2.276
8_30_830,-1.724
8_30_840,2.276
8_30_850,2.276
8_30_860,2.276
8_30_870,-5.724
8_30_880,-5.724
8_30_890,2.276
8_30_900,2.276
8_30_910,-1.724
8_30_920,2.276
8_30_930,2.276
8_30_940,2.276
8_30_950,-1.724
8_30_960,-5.724
8_30_970,6.276
8_30_980,6.276
8_30_990,-1.724
8_31_0,-1.724
8_31_10,-1.724
8_31_20,-1.724
8_31_30,-5.724
8_31_40,-5.724
8_31_50,-1.724
8_31_60,2.276
8_31_70,-1.724
8_31_80,2.276
8_31_90,2.276
8_31_100,-1.724
8_31_110,-5.724
8_31_120,6.276
8_31_130,6.276
8_31_140,6.276
8_31_150,2.276
8_31_160,2.276
8_31_170,-1.724
8_31_180,-1.724
8_31_190,-1.724
8_31_200,6.276
8_31_210,2.276
8_31_220,2.276
8_31_230,-1.724
8_31_240,2.276
8_31_250,2.276
8_31_260,-1.724
