8_27_200,-6.228
8_27_210,-6.228
8_27_220,-2.228
8_27_230,-2.228
8_27_240,-2.228
8_27_250,1.772
8_27_260,1.772
8_27_270,1.772
8_27_280,1.772
8_27_290,1.772
8_27_300,-2.228
8_27_310,1.772
8_27_320,-2.228
8_27_330,1.772
8_27_340,-2.228
8_27_350,-2.228
8_27_360,1.772
8_27_370,-2.228
8_27_380,1.772
8_27_390,1.772
8_27_400,-2.228
8_27_410,-2.228
8_27_420,-2.228
8_27_430,-2.228
8_27_440,5.772
8_27_450,-2.228
8_27_460,-2.228
8_27_470,5.772
8_27_480,1.772
8_27_490,1.772
8_27_500,-2.228
8_27_510,1.772
8_27_520,5.772
8_27_530,5.772
8_27_540,-2.228
8_27_550,-2.228
8_27_560,-2.228
8_27_570,1.772
8_27_580,1.772
8_27_590,-2.228
8_27_600,-2.228
8_27_610,1.772
8_27_620,1.772
8_27_630,5.772
8_27_640,-2.228
8_27_650,1.772
8_27_660,1.772
8_27_670,-2.228
8_27_680,5.772
8_27_690,-2.228
8_27_700,-2.228
8_27_710,1.772
8_27_720,-2.228
8_27_730,-2.228
8_27_740,-2.228
8_27_750,1.772
8_27_760,1.772
8_27_770,-2.228
8_27_780,-2.228
8_27_790,5.772
8_27_800,1.772
8_27_810,1.772
8_27_820,-2.228
8_27_830,-2.228
8_27_840,1.772
8_27_850,1.772
8_27_860,1.772
8_27_870,1.772
8_27_880,-6.228
8_27_890,5.772
8_27_900,1.772
8_27_910,-2.228
8_27_920,1.772
8_27_930,5.772
8_27_940,1.772
8_27_950,-2.228
8_27_960,-2.228
8_27_970,-2.228
8_27_980,1.772
8_27_990,1.772
8_28_0,-2.228
8_28_10,5.772
8_28_20,1.772
8_28_30,-2.228
8_28_40,-2.228
8_28_50,-2.228
8_28_60,-2.228
8_28_70,1.772
8_28_80,-6.228
8_28_90,-6.228
8_28_100,1.772
8_28_110,-2.228
8_28_120,1.772
8_28_130,1.772
8_28_140,1.772
8_28_150,-2.228
8_28_160,-2.228
8_28_170,-2.228
8_28_180,1.772
8_28_190,1.772
8_28_200,1.772
8_28_210,-2.228
8_28_220,-2.228
8_28_230,5.772
8_28_240,1.772
8_28_250,-2.228
8_28_260,-2.228
8_28_270,1.772
8_28_280,-2.228
8_28_290,-6.228
8_28_300,-6.228
8_28_310,1.772
8_28_320,1.772
8_28_330,1.772
8_28_340,-2.228
8_28_350,-2.228
8_28_360,-2.228
8_28_370,-2.228
8_28_380,-2.228
8_28_390,-6.228
8_28_400,-2.228
8_28_410,1.772
8_28_420,-2.228
8_28_430,1.772
8_28_440,-2.228
8_28_450,-2.228
8_28_460,-2.228
8_28_470,1.772
8_28_480,-2.228
8_28_490,-2.228
8_28_500,-2.228
8_28_510,-2.228
8_28_520,-2.228
8_28_530,1.772
8_28_540,-2.228
8_28_550,-6.228
8_28_560,1.772
8_28_570,5.772
8_28_580,1.772
8_28_590,-2.228
8_28_600,-2.228
8_28_610,1.772
8_28_620,5.772
8_28_630,1.772
8_28_640,-2.228
8_28_650,-2.228
8_28_660,5.772
8_28_670,-2.228
8_28_680,1.772
8_28_690,5.772
8_28_700,1.772
8_28_710,1.772
8_28_720,1.772
8_28_730,1.772
8_28_740,1.772
8_28_750,-2.228
8_28_760,-2.228
8_28_770,-2.228
8_28_780,-2.228
8_28_790,-2.228
8_28_800,1.772
8_28_810,-2.228
8_28_820,-2.228
8_28_830,-2.228
8_28_840,-2.228
8_28_850,-2.228
8_28_860,1.772
8_28_870,-2.228
8_28_880,1.772
8_28_890,1.772
8_28_900,-2.228
8_28_910,1.772
8_28_920,1.772
8_28_930,-2.228
8_28_940,1.772
8_28_950,-2.228
8_28_960,1.772
8_28_970,1.772
8_28_980,1.772
8_28_990,5.772
8_29_0,-2.228
8_29_10,1.772
8_29_20,-2.228
8_29_30,1.772
8_29_40,-2.228
8_29_50,-2.228
8_29_60,1.772
8_29_70,1.772
8_29_80,-2.228
8_29_90,-2.228
8_29_100,-2.228
8_29_110,-2.228
8_29_120,1.772
8_29_130,1.772
8_29_140,-2.228
8_29_150,5.772
8_29_160,5.772
8_29_170,1.772
8_29_180,1.772
8_29_190,1.772
8_29_200,1.772
8_29_210,-2.228
8_29_220,-2.228
8_29_230,5.772
8_29_240,1.772
8_29_250,-2.228
8_29_260,-2.228
8_29_270,1.772
8_29_280,-2.228
8_29_290,1.772
8_29_300,1.772
8_29_310,-2.228
8_29_320,1.772
8_29_330,1.772
8_29_340,1.772
8_29_350,1.772
8_29_360,1.772
8_29_370,1.772
8_29_380,-2.228
8_29_390,-2.228
8_29_400,1.772
8_29_410,-2.228
8_29_420,-6.228
8_29_430,1.772
8_29_440,1.772
8_29_450,1.772
8_29_460,1.772
8_29_470,-2.228
8_29_480,5.772
8_29_490,5.772
8_29_500,-2.228
8_29_510,-2.228
8_29_520,1.772
8_29_530,-2.228
8_29_540,-2.228
8_29_550,1.772
8_29_560,1.772
8_29_570,1.772
8_29_580,1.772
8_29_590,1.772
8_29_600,-2.228
8_29_610,1.772
8_29_620,1.772
8_29_630,-2.228
8_29_640,-2.228
8_29_650,-2.228
8_29_660,1.772
8_29_670,1.772
8_29_680,1.772
8_29_690,-2.228
8_29_700,1.772
8_29_710,1.772
8_29_720,1.772
8_29_730,1.772
8_29_740,1.772
8_29_750,1.772
8_29_760,-2.228
8_29_770,1.772
8_29_780,1.772
8_29_790,1.772
8_29_800,1.772
8_29_810,1.772
8_29_820,1.772
8_29_830,1.772
8_29_840,-2.228
8_29_850,1.772
8_29_860,1.772
8_29_870,-2.228
8_29_880,1.772
8_29_890,1.772
8_29_900,-2.228
8_29_910,1.772
8_29_920,-2.228
8_29_930,-2.228
8_29_940,-2.228
8_29_950,-6.228
8_29_960,1.772
8_29_970,1.772
8_29_980,5.772
8_29_990,1.772
8_30_0,1.772
8_30_10,1.772
8_30_20,1.772
8_30_30,1.772
8_30_40,1.772
8_30_50,-2.228
8_30_60,-2.228
8_30_70,1.772
8_30_80,1.772
8_30_90,1.772
8_30_100,-2.228
8_30_110,-2.228
8_30_120,-2.228
8_30_130,1.772
8_30_140,-2.228
8_30_150,-2.228
8_30_160,1.772
8_30_170,5.772
8_30_180,1.772
8_30_190,-2.228
8_30_200,1.772
8_30_210,1.772
8_30_220,5.772
8_30_230,1.772
8_30_240,1.772
8_30_250,1.772
8_30_260,1.772
8_30_270,1.772
8_30_280,-6.228
8_30_290,-2.228
8_30_300,1.772
8_30_310,1.772
8_30_320,-2.228
8_30_330,-2.228
8_30_340,-2.228
8_30_350,1.772
8_30_360,1.772
8_30_370,1.772
8_30_380,5.772
8_30_390,9.772
8_30_400,-2.228
8_30_410,1.772
8_30_420,1.772
8_30_430,-2.228
8_30_440,-2.228
8_30_450,-2.228
8_30_460,-2.228
8_30_470,5.772
8_30_480,5.772
8_30_490,1.772
8_30_500,5.772
8_30_510,1.772
8_30_520,1.772
8_30_530,1.772
8_30_540,5.772
8_30_550,-2.228
8_30_560,-2.228
8_30_570,-2.228
8_30_580,-2.228
8_30_590,1.772
8_30_600,1.772
8_30_610,-2.228
8_30_620,5.772
8_30_630,5.772
8_30_640,1.772
8_30_650,1.772
8_30_660,1.772
8_30_670,-2.228
8_30_680,-2.228
8_30_690,-2.228
8_30_700,-2.228
8_30_710,-2.228
8_30_720,1.772
8_30_730,1.772
8_30_740,1.772
8_30_750,-2.228
8_30_760,-2.228
8_30_770,5.772
8_30_780,1.772
8_30_790,1.772
8_30_800,-2.228
8_30_810,-2.228
8_30_820,-2.228
8_30_830,-2.228
8_30_840,1.772
8_30_850,1.772
8_30_860,-2.228
8_30_870,-2.228
8_30_880,1.772
8_30_890,1.772
8_30_900,-2.228
8_30_910,-2.228
8_30_920,-2.228
8_30_930,1.772
8_30_940,1.772
8_30_950,-2.228
8_30_960,-6.228
8_30_970,1.772
8_30_980,-2.228
8_30_990,-2.228
8_31_0,1.772
8_31_10,1.772
8_31_20,1.772
8_31_30,1.772
8_31_40,-2.228
8_31_50,-2.228
8_31_60,-2.228
8_31_70,1.772
8_31_80,1.772
8_31_90,1.772
8_31_100,1.772
8_31_110,1.772
8_31_120,-2.228
8_31_130,-2.228
8_31_140,1.772
8_31_150,1.772
8_31_160,-2.228
8_31_170,5.772
8_31_180,1.772
8_31_190,1.772
8_31_200,1.772
8_31_210,1.772
8_31_220,-2.228
8_31_230,-2.228
8_31_240,-2.228
8_31_250,1.772
8_31_260,-2.228
8_31_270,-2.228
8_31_280,-2.228
8_31_290,5.772
8_31_300,-2.228
8_31_310,1.772
8_31_320,-2.228
8_31_330,1.772
8_31_340,-2.228
8_31_350,-2.228
8_31_360,1.772
8_31_370,1.772
8_31_380,1.772
8_31_390,-6.228
8_31_400,1.772
8_31_410,1.772
8_31_420,1.772
8_31_430,-2.228
8_31_440,-2.228
8_31_450,1.772
8_31_460,1.772
8_31_470,1.772
8_31_480,1.772
8_31_490,1.772
8_31_500,-2.228
8_31_510,1.772
8_31_520,1.772
8_31_530,5.772
8_31_540,-2.228
8_31_550,1.772
8_31_560,1.772
8_31_570,-2.228
8_31_580,-6.228
8_31_590,-2.228
8_31_600,1.772
8_31_610,1.772
8_31_620,1.772
8_31_630,-2.228
8_31_640,-2.228
8_31_650,-2.228
8_31_660,-2.228
8_31_670,-2.228
8_31_680,1.772
8_31_690,1.772
8_31_700,1.772
8_31_710,1.772
8_31_720,-2.228
8_31_730,1.772
8_31_740,1.772
8_31_750,1.772
8_31_760,1.772
8_31_770,1.772
8_31_780,-2.228
8_31_790,-2.228
8_31_800,-2.228
8_31_810,-2.228
8_31_820,-2.228
8_31_830,1.772
8_31_840,-2.228
8_31_850,-2.228
8_31_860,-2.228
8_31_870,-2.228
8_31_880,-2.228
8_31_890,1.772
8_31_900,-2.228
8_31_910,-2.228
8_31_920,1.772
8_31_930,1.772
8_31_940,1.772
8_31_950,1.772
8_31_960,-2.228
8_31_970,-2.228
8_31_980,-2.228
8_31_990,1.772
8_32_0,9.772
8_32_10,1.772
8_32_20,-2.228
8_32_30,1.772
8_32_40,1.772
8_32_50,-2.228
8_32_60,1.772
8_32_70,1.772
8_32_80,1.772
8_32_90,9.772
8_32_100,-2.228
8_32_110,-2.228
8_32_120,-6.228
8_32_130,-2.228
8_32_140,-6.228
8_32_150,-6.228
8_32_160,-2.228
8_32_170,-2.228
8_32_180,1.772
8_32_190,-6.228
8_32_200,-2.228
8_32_210,-2.228
8_32_220,1.772
8_32_230,-2.228
8_32_240,-2.228
8_32_250,-2.228
8_32_260,-2.228
8_32_270,1.772
8_32_280,1.772
8_32_290,1.772
8_32_300,1.772
8_32_310,-2.228
8_32_320,-2.228
8_32_330,1.772
8_32_340,1.772
8_32_350,1.772
8_32_360,-2.228
8_32_370,1.772
8_32_380,1.772
8_32_390,1.772
8_32_400,-2.228
8_32_410,-2.228
8_32_420,-2.228
8_32_430,1.772
8_32_440,1.772
8_32_450,-2.228
8_32_460,-2.228
8_32_470,-2.228
8_32_480,1.772
8_32_490,-2.228
8_32_500,1.772
8_32_510,1.772
8_32_520,-2.228
8_32_530,1.772
8_32_540,1.772
8_32_550,-2.228
8_32_560,1.772
8_32_570,1.772
8_32_580,1.772
8_32_590,-2.228
8_32_600,-2.228
8_32_610,5.772
8_32_620,1.772
8_32_630,1.772
8_32_640,1.772
8_32_650,1.772
8_32_660,1.772
8_32_670,9.772
8_32_680,5.772
8_32_690,5.772
8_32_700,-6.228
8_32_710,1.772
8_32_720,1.772
8_32_730,-2.228
8_32_740,-6.228
8_32_750,1.772
8_32_760,1.772
8_32_770,1.772
8_32_780,1.772
8_32_790,-2.228
8_32_800,-2.228
8_32_810,1.772
8_32_820,1.772
8_32_830,1.772
8_32_840,-2.228
8_32_850,1.772
8_32_860,-2.228
8_32_870,5.772
8_32_880,5.772
8_32_890,1.772
8_32_900,-2.228
8_32_910,-2.228
8_32_920,-2.228
8_32_930,-2.228
8_32_940,-2.228
8_32_950,-2.228
8_32_960,-2.228
8_32_970,1.772
8_32_980,1.772
8_32_990,-2.228
8_33_0,-2.228
8_33_10,-2.228
8_33_20,-2.228
8_33_30,1.772
8_33_40,-2.228
8_33_50,1.772
8_33_60,1.772
8_33_70,1.772
